AI SP500 9MRel RD 5

Date,Symbol,Type,Shares,Price,Amount,TotFees,Rank,Notes
2026-02-02,CRWD,BUY,425.00,441.405,"-187,788.97",-191.8471,99.40,
2026-02-02,AVGO,BUY,567.00,331.30,"-188,040.62",-193.5171,99.60,
2026-02-02,NVDA,SELL,"-1,108.00",191.13,"211,549.19",-222.852,91.80,Rank
2026-02-02,MSFT,SELL,-401.00,430.29,"172,369.73",-176.5563,88.20,Rank
2026-01-26,DDOG,BUY,"1,557.00",135.122475,"-210,603.87",-218.18,99.40,*
2026-01-26,TTWO,SELL,-820.00,245.6275,"201,204.85",-209.70,91.40,*Rank
2026-01-20,MSFT,BUY,401.00,453.78,"-182,154.19",-188.41,99.60,*
2026-01-20,FTNT,SELL,"-2,480.00",75.0175,"185,831.66",-211.74,91.80,*Rank
2025-11-28,FTNT,BUY,"2,480.00",80.9925,"-201,085.96",-224.564,99.00,*
2025-11-28,META,BUY,315.00,644.8625,"-203,334.42",-202.7371,99.20,*
2025-11-28,TTWO,BUY,820.00,245.5925,"-201,593.83",-207.9766,99.40,*
2025-11-28,NVDA,BUY,"1,108.00",177.4475,"-196,822.64",-210.8081,99.60,*
2025-11-28,GRMN,BUY,"1,025.00",195.21,"-200,300.16",-209.9097,99.80,*
2025-11-26,,CASH,,,"1,000,000.00",,,Starting cash
